mean_R,mean_G,mean_B,std_R,std_G,std_B,contrast,homogeneity,energy,entropy,label
128.61625079719389,139.2989277742347,128.6935586734694,53.58455864189274,47.32974012720257,67.2818731129029,156.1636571108264,0.20288711831363332,0.017634386262072338,12.319971357111568,Bacteria
120.01343271683673,129.30020328443877,70.98846061862245,41.58088316849817,40.36893619116203,52.27114850025168,520.175788757207,0.09386974350819409,0.012094002389546925,13.357643434590464,Bacteria
141.4216159119898,144.34626116071428,130.42677774234693,39.64350207491523,36.942884391487574,54.94078861769949,468.3883728379243,0.15882009145001935,0.021977017411882002,12.430229915084208,Bacteria
111.89245854591837,110.107421875,80.59526466836735,50.57444638785182,51.036134274413605,57.77134750075907,796.2265174567584,0.07294809707759535,0.009259164469458528,13.958764066835837,Bacteria
121.73830117984694,127.13984773596938,85.0499043367347,50.031090587419904,51.86447783477375,55.37939303695452,366.68317584881487,0.15941916100001133,0.01566144671806061,12.967569280659946,Bacteria
119.96653778698979,131.5120176977041,95.83838887117346,48.74541997081451,43.83702140676678,54.49724055970467,179.86551089045486,0.19700506874637255,0.01843956399372796,12.412758781795562,Bacteria
142.51046316964286,140.56564891581633,122.98664700255102,63.67636843366128,64.16952417680102,83.2647244073161,770.6759489109546,0.144094220013914,0.011636694871196644,13.61106806745643,Bacteria
80.74844547193878,110.81487165178571,52.385522959183675,46.797943654271286,47.01055810132867,42.85652260616067,456.9226457399103,0.12452051856684486,0.013497177698162935,13.165798236485465,Bacteria
103.87729193239795,126.77254065688776,67.86760602678571,44.9779525174278,43.925573133403866,40.35814866863539,711.678951793722,0.08952934941866018,0.011065214411958403,13.523773148509663,Bacteria
94.58316725127551,126.9146803252551,69.86953922193878,47.574321082366524,47.023684206203654,43.3450408954438,459.18944186418963,0.11990720055349395,0.014161973493462293,13.006978040855417,Bacteria
98.94096779336735,122.72466916454081,65.59841358418367,56.07231949264547,51.662420829215186,47.81395264936027,308.168802049968,0.14117325252912974,0.015155321876598309,12.837182843342962,Bacteria
119.41073421556122,130.32914142219389,79.73493303571429,50.18402998766965,32.27368996633045,42.39646767513241,158.19542761050613,0.15682670852131939,0.017597826767217134,12.198222615743367,Bacteria
110.49780771683673,128.22556600765307,71.5123365752551,47.170666124646424,40.007112590076495,44.68957385200942,226.56790518898146,0.16274900687214452,0.017540474322912086,12.395545679820023,Bacteria
